timestamp_ms,sample_no,emg_value
1764938710900,1,433
1764938711000,2,471
1764938711100,3,486
1764938711200,4,530
1764938711300,5,475
1764938711400,6,411
1764938711500,7,536
1764938711600,8,535
1764938711700,9,504
1764938711800,10,441
1764938711900,11,488
1764938712000,12,490
1764938712100,13,571
1764938712200,14,585
1764938712300,15,388
1764938712400,16,446
1764938712500,17,413
1764938712600,18,538
1764938712700,19,479
1764938712800,20,416
1764938712900,21,469
1764938713000,22,534
1764938713100,23,524
1764938713200,24,538
1764938713300,25,521
1764938713400,26,553
1764938713500,27,659
1764938713600,28,549
1764938713700,29,544
1764938713800,30,428
1764938713900,31,470
1764938714000,32,449
1764938714100,33,459
1764938714200,34,551
1764938714300,35,561
1764938714400,36,642
1764938714500,37,590
1764938714600,38,487
1764938714700,39,497
1764938714800,40,488
1764938714900,41,493
1764938715000,42,528
1764938715100,43,605
1764938715200,44,783
1764938715300,45,469
1764938715400,46,392
1764938715500,47,454
1764938715600,48,400
1764938715700,49,329
1764938715800,50,281
1764938715900,51,514
1764938716000,52,689
1764938716100,53,577
1764938716200,54,387
1764938716300,55,382
1764938716400,56,448
1764938716500,57,394
1764938716600,58,385
1764938716700,59,471
1764938716800,60,631
1764938716900,61,716
1764938717000,62,571
1764938717100,63,490
1764938717200,64,428
1764938717300,65,528
1764938717400,66,460
1764938717500,67,433
1764938717600,68,526
1764938717700,69,563
1764938717800,70,625
1764938717900,71,576
1764938718000,72,482
1764938718100,73,496
1764938718200,74,390
1764938718300,75,464
1764938718400,76,459
1764938718500,77,603
1764938718600,78,670
1764938718700,79,660
1764938718800,80,560
1764938718900,81,470
1764938719000,82,442
1764938719100,83,466
1764938719200,84,437
1764938719300,85,432
1764938719400,86,595
1764938719500,87,562
1764938719600,88,721
1764938719700,89,659
1764938719800,90,577
1764938719900,91,389
1764938720000,92,435
1764938720100,93,402
1764938720200,94,424
1764938720300,95,551
1764938720400,96,635
1764938720500,97,598
1764938720600,98,693
1764938720700,99,540
1764938720800,100,414
1764938720900,101,439
1764938721000,102,433
1764938721100,103,554
1764938721200,104,608
1764938721300,105,803
1764938721400,106,717
1764938721500,107,607
1764938721600,108,574
1764938721700,109,466
1764938721800,110,349
1764938721900,111,332
1764938722000,112,376
1764938722100,113,490
1764938722200,114,600
1764938722300,115,595
1764938722400,116,606
1764938722500,117,471
1764938722600,118,386
1764938722700,119,372
1764938722800,120,425
1764938722900,121,576
1764938723000,122,625
1764938723100,123,638
1764938723200,124,583
1764938723300,125,302
1764938723400,126,309
1764938723500,127,305
1764938723600,128,342
1764938723700,129,755
1764938723800,130,653
1764938723900,131,818
1764938724000,132,353
1764938724100,133,480
1764938724200,134,413
1764938724300,135,169
1764938724400,136,384
1764938724500,137,664
1764938724600,138,715
1764938724700,139,484
1764938724800,140,388
1764938724900,141,533
1764938725000,142,287
1764938725100,143,338
1764938725200,144,628
1764938725300,145,753
1764938725400,146,790
1764938725500,147,369
1764938725600,148,463
1764938725700,149,493
1764938725800,150,335
1764938725900,151,371
1764938726000,152,619
1764938726100,153,625
1764938726200,154,625
1764938726300,155,583
1764938726400,156,510
1764938726500,157,502
1764938726600,158,335
1764938726700,159,390
1764938726800,160,714
1764938726900,161,621
1764938727000,162,663
1764938727100,163,749
1764938727200,164,718
1764938727300,165,405
1764938727400,166,499
1764938727500,167,351
1764938727600,168,509
1764938727700,169,587
1764938727800,170,609
1764938727900,171,551
1764938728000,172,665
1764938728100,173,410
1764938728200,174,424
1764938728300,175,417
1764938728400,176,175
1764938728500,177,503
1764938728600,178,690
1764938728700,179,623
1764938728800,180,620
1764938728900,181,485
1764938729000,182,444
1764938729100,183,449
1764938729200,184,353
1764938729300,185,378
1764938729400,186,580
1764938729500,187,615
1764938729600,188,575
1764938729700,189,548
1764938729800,190,417
1764938729900,191,345
1764938730000,192,321
1764938730100,193,463
1764938730200,194,733
1764938730300,195,658
1764938730400,196,589
1764938730500,197,656
1764938730600,198,420
1764938730700,199,400
1764938730800,200,382
