timestamp_ms,sample_no,emg_value
1764938736902,1,510
1764938737002,2,556
1764938737102,3,630
1764938737202,4,672
1764938737302,5,602
1764938737402,6,554
1764938737502,7,541
1764938737602,8,556
1764938737702,9,649
1764938737802,10,1023
1764938737902,11,601
1764938738002,12,557
1764938738102,13,558
1764938738202,14,530
1764938738302,15,449
1764938738402,16,463
1764938738502,17,604
1764938738602,18,558
1764938738702,19,518
1764938738802,20,315
1764938738902,21,680
1764938739002,22,500
1764938739102,23,498
1764938739202,24,500
1764938739302,25,523
1764938739402,26,373
1764938739502,27,761
1764938739602,28,387
1764938739702,29,444
1764938739802,30,474
1764938739902,31,523
1764938740002,32,510
1764938740102,33,1023
1764938740202,34,465
1764938740302,35,469
1764938740402,36,497
1764938740502,37,516
1764938740602,38,524
1764938740702,39,475
1764938740802,40,574
1764938740902,41,472
1764938741002,42,477
1764938741102,43,527
1764938741202,44,530
1764938741302,45,512
1764938741402,46,654
1764938741502,47,758
1764938741602,48,468
1764938741702,49,521
1764938741802,50,485
1764938741902,51,526
1764938742002,52,474
1764938742102,53,575
1764938742202,54,515
1764938742302,55,499
1764938742402,56,491
1764938742502,57,520
1764938742602,58,404
1764938742702,59,223
1764938742802,60,459
1764938742902,61,485
1764938743002,62,545
1764938743102,63,545
1764938743202,64,427
1764938743302,65,275
1764938743402,66,425
1764938743502,67,515
1764938743602,68,517
1764938743702,69,539
1764938743802,70,662
1764938743902,71,528
1764938744002,72,470
1764938744102,73,494
1764938744202,74,539
1764938744302,75,515
1764938744402,76,516
1764938744502,77,539
1764938744602,78,603
1764938744702,79,485
1764938744802,80,469
1764938744902,81,506
1764938745002,82,500
1764938745102,83,426
1764938745202,84,664
1764938745302,85,277
1764938745402,86,471
1764938745502,87,521
1764938745602,88,543
1764938745702,89,373
1764938745802,90,496
1764938745902,91,144
1764938746002,92,448
1764938746102,93,503
1764938746202,94,565
1764938746302,95,374
1764938746402,96,627
1764938746502,97,218
1764938746602,98,466
1764938746702,99,502
1764938746802,100,553
1764938746902,101,513
1764938747002,102,444
1764938747102,103,563
1764938747202,104,507
1764938747302,105,507
1764938747402,106,560
1764938747502,107,486
1764938747602,108,526
1764938747702,109,372
1764938747802,110,480
1764938747902,111,481
1764938748002,112,539
1764938748102,113,456
1764938748202,114,680
1764938748302,115,357
1764938748402,116,472
1764938748502,117,515
1764938748602,118,540
1764938748702,119,494
1764938748802,120,725
1764938748902,121,542
1764938749002,122,553
1764938749102,123,604
1764938749202,124,539
1764938749302,125,354
1764938749402,126,674
1764938749502,127,527
1764938749602,128,548
1764938749702,129,534
1764938749802,130,544
1764938749902,131,593
1764938750002,132,1023
1764938750102,133,394
1764938750202,134,500
1764938750302,135,525
1764938750402,136,553
1764938750502,137,578
1764938750602,138,538
1764938750702,139,458
1764938750802,140,488
1764938750902,141,529
1764938751002,142,523
1764938751102,143,864
1764938751202,144,579
1764938751302,145,461
1764938751402,146,476
1764938751502,147,525
1764938751602,148,535
1764938751702,149,567
1764938751802,150,930
1764938751902,151,422
1764938752002,152,466
1764938752102,153,517
1764938752202,154,521
1764938752302,155,464
1764938752402,156,514
1764938752502,157,558
1764938752602,158,532
1764938752702,159,579
1764938752802,160,553
1764938752902,161,617
1764938753002,162,559
1764938753102,163,479
1764938753202,164,505
1764938753302,165,562
1764938753402,166,531
1764938753502,167,456
1764938753602,168,911
1764938753702,169,199
1764938753802,170,401
1764938753902,171,461
1764938754002,172,547
1764938754102,173,585
1764938754202,174,563
1764938754302,175,442
1764938754402,176,474
1764938754502,177,561
1764938754602,178,504
1764938754702,179,989
1764938754802,180,534
1764938754902,181,453
1764938755002,182,541
1764938755102,183,521
1764938755202,184,572
1764938755302,185,561
1764938755402,186,587
1764938755502,187,511
1764938755602,188,540
1764938755702,189,492
1764938755802,190,765
1764938755902,191,376
1764938756002,192,424
1764938756102,193,548
1764938756202,194,551
1764938756302,195,559
1764938756402,196,635
1764938756502,197,505
1764938756602,198,468
1764938756702,199,579
1764938756802,200,504
