timestamp_ms,sample_no,emg_value
1764938762902,1,477
1764938763002,2,407
1764938763102,3,751
1764938763202,4,603
1764938763302,5,694
1764938763402,6,584
1764938763502,7,564
1764938763602,8,489
1764938763702,9,471
1764938763802,10,353
1764938763902,11,686
1764938764002,12,652
1764938764102,13,549
1764938764202,14,511
1764938764302,15,439
1764938764402,16,402
1764938764502,17,415
1764938764602,18,457
1764938764702,19,470
1764938764802,20,720
1764938764902,21,656
1764938765002,22,538
1764938765102,23,472
1764938765202,24,401
1764938765302,25,429
1764938765402,26,445
1764938765502,27,667
1764938765602,28,705
1764938765702,29,890
1764938765802,30,600
1764938765902,31,478
1764938766002,32,418
1764938766102,33,338
1764938766202,34,252
1764938766302,35,433
1764938766402,36,751
1764938766502,37,608
1764938766602,38,435
1764938766702,39,428
1764938766802,40,396
1764938766902,41,608
1764938767002,42,515
1764938767102,43,690
1764938767202,44,481
1764938767302,45,440
1764938767402,46,462
1764938767502,47,429
1764938767602,48,538
1764938767702,49,436
1764938767802,50,653
1764938767902,51,545
1764938768002,52,493
1764938768102,53,420
1764938768202,54,407
1764938768302,55,543
1764938768402,56,436
1764938768502,57,688
1764938768602,58,555
1764938768702,59,485
1764938768802,60,421
1764938768902,61,392
1764938769002,62,257
1764938769102,63,754
1764938769202,64,624
1764938769302,65,474
1764938769402,66,477
1764938769502,67,431
1764938769602,68,495
1764938769702,69,514
1764938769802,70,648
1764938769902,71,547
1764938770002,72,502
1764938770102,73,413
1764938770202,74,425
1764938770302,75,492
1764938770402,76,601
1764938770502,77,680
1764938770602,78,579
1764938770702,79,449
1764938770802,80,407
1764938770902,81,404
1764938771002,82,440
1764938771102,83,403
1764938771202,84,732
1764938771302,85,653
1764938771402,86,548
1764938771502,87,549
1764938771602,88,525
1764938771702,89,530
1764938771802,90,651
1764938771902,91,582
1764938772002,92,564
1764938772102,93,545
1764938772202,94,553
1764938772302,95,489
1764938772402,96,458
1764938772502,97,376
1764938772602,98,691
1764938772702,99,503
1764938772802,100,575
1764938772902,101,546
1764938773002,102,531
1764938773102,103,494
1764938773202,104,90
1764938773302,105,561
1764938773402,106,661
1764938773502,107,541
1764938773602,108,543
1764938773702,109,487
1764938773802,110,530
1764938773902,111,791
1764938774002,112,807
1764938774102,113,661
1764938774202,114,600
1764938774302,115,498
1764938774402,116,376
1764938774502,117,331
1764938774602,118,542
1764938774702,119,896
1764938774802,120,596
1764938774902,121,401
1764938775002,122,482
1764938775102,123,417
1764938775202,124,435
1764938775302,125,470
1764938775402,126,581
1764938775502,127,525
1764938775602,128,466
1764938775702,129,542
1764938775802,130,487
1764938775902,131,500
1764938776002,132,244
1764938776102,133,857
1764938776202,134,602
1764938776302,135,427
1764938776402,136,414
1764938776502,137,413
1764938776602,138,458
1764938776702,139,341
1764938776802,140,592
1764938776902,141,684
1764938777002,142,573
1764938777102,143,490
1764938777202,144,447
1764938777302,145,490
1764938777402,146,438
1764938777502,147,486
1764938777602,148,722
1764938777702,149,641
1764938777802,150,501
1764938777902,151,560
1764938778002,152,458
1764938778102,153,442
1764938778202,154,151
1764938778302,155,827
1764938778402,156,628
1764938778502,157,475
1764938778602,158,547
1764938778702,159,427
1764938778802,160,446
1764938778902,161,460
1764938779002,162,607
1764938779102,163,476
1764938779202,164,510
1764938779302,165,556
1764938779402,166,486
1764938779502,167,452
1764938779602,168,316
1764938779702,169,616
1764938779802,170,671
1764938779902,171,504
1764938780002,172,426
1764938780102,173,462
1764938780202,174,457
1764938780302,175,444
1764938780402,176,607
1764938780502,177,655
1764938780602,178,563
1764938780702,179,468
1764938780802,180,448
1764938780902,181,459
1764938781002,182,567
1764938781102,183,567
1764938781202,184,607
1764938781302,185,618
1764938781402,186,488
1764938781502,187,427
1764938781602,188,486
1764938781702,189,428
1764938781802,190,411
1764938781902,191,545
1764938782002,192,567
1764938782102,193,516
1764938782202,194,485
1764938782302,195,481
1764938782402,196,474
1764938782502,197,467
1764938782602,198,407
1764938782702,199,667
1764938782802,200,540
